No.,Title,Artist,Year,duration_sec
1,Little Things Mean a Lot,Kitty Kallen,1954,179.146
2,Wanted,Perry Como,1954,185.093
3,Hey There,Rosemary Clooney,1954,178.333
4,Sh-Boom,The Crew-Cuts,1954,168.893
5,Make Love to Me,Jo Stafford,1954,161.133
6,Oh! My Pa-Pa,Eddie Fisher,1954,177.106
7,(Oh Baby Mine) I Get So Lonely,The Four Knights,1954,125.898
8,Three Coins in the Fountain,The Four Aces,1954,180.84
9,Secret Love,Doris Day,1954,219.6
10,Hernando's Hideaway,Archie Bleyer,1954,152.8
11,Young at Heart,Frank Sinatra,1954,174.466
12,This Ole House,Rosemary Clooney,1954,142.266
13,I Need You Now,Eddie Fisher,1954,152.133
14,Cross Over the Bridge,Patti Page,1954,153.36
15,The Little Shoemaker,The Gaylords,1954,137.404
16,That's Amore,Dean Martin,1954,188.466
17,The Happy Wanderer,Frank Weir,1954,165.816
18,"Answer Me, My Love",Nat King Cole,1954,175.6
19,Stranger in Paradise,Tony Bennett,1954,300.333
20,If I Give My Heart to You,Doris Day,1954,169.066
21,If You Love Me (Really Love Me),Kay Starr,1954,169.6
22,Skokiaan,Ralph Marterie,1954,164.506
23,Hold My Hand,Don Cornell,1954,169.2
24,Changing Partners,Patti Page,1954,177.066
25,Papa Loves Mambo,Perry Como,1954,162.106
26,"Shake, Rattle and Roll",Bill Haley & His Comets,1954,149.466
27,Rags to Riches,Tony Bennett,1954,168.48
28,In the Chapel in the Moonlight,Kitty Kallen,1954,175.173
29,Stranger in Paradise,The Four Aces,1954,178.573
30,Here,Tony Martin,1954,187.733
1,Cherry Pink And Apple Blossom White,Perez Prado,1955,189.64
2,Rock Around the Clock,Bill Haley & His Comets,1955,129.893
3,The Yellow Rose of Texas,Mitch Miller,1955,181.066
4,Autumn Leaves,Roger Williams,1955,173.083
5,Unchained Melody,Les Baxter,1955,153.373
6,The Ballad of Davy Crockett,Bill Hayes,1955,143.533
7,Love Is a Many-Splendored Thing,The Four Aces,1955,179.466
8,Sincerely,The McGuire Sisters,1955,178.8
9,Ain't That a Shame,Pat Boone,1955,143.893
10,"The Wallflower (Dance with Me, Henry)",Georgia Gibbs,1955,137.6
11,The Crazy Otto Medley,Johnny Maddox,1955,172.613
12,Melody of Love,Billy Vaughn,1955,182.84
13,Sixteen Tons,Tennessee Ernie Ford,1955,155.901
14,Learnin' the Blues,Frank Sinatra,1955,181.906
15,Hearts of Stone,The Fontane Sisters,1955,127.96
16,Tweedle Dee,Georgia Gibbs,1955,150.84
17,Moments to Remember,The Four Lads,1955,195.133
18,Mr. Sandman,The Chordettes,1955,143.613
19,"Let Me Go, Lover!",Joan Weber,1955,143.786
20,A Blossom Fell,Nat King Cole,1955,161.773
21,Unchained Melody,Al Hibbler,1955,175.826
22,The Ballad of Davy Crockett,Fess Parker,1955,131.506
23,Honey-Babe,Art Mooney,1955,174.226
24,The Ballad of Davy Crockett,Tennessee Ernie Ford,1955,178.84
25,Ko Ko Mo (I Love You So),Perry Como,1955,173.493
26,Hard to Get,Gisele MacKenzie,1955,181.5
27,The Naughty Lady of Shady Lane,The Ames Brothers,1955,171.066
28,That's All I Want from You,Jaye P. Morgan,1955,204.8
29,Only You (And You Alone),The Platters,1955,156.56
30,It's a Sin to Tell a Lie,Somethin' Smith and the Redheads,1955,220.871
1,Heartbreak Hotel,Elvis Presley,1956,127.96
2,Don't Be Cruel,Elvis Presley,1956,122.866
3,Lisbon Antigua,Nelson Riddle,1956,157.24
4,My Prayer,The Platters,1956,167.8
5,The Wayward Wind,Gogi Grant,1956,157.28
6,Hound Dog,Elvis Presley,1956,136.026
7,The Poor People of Paris,Les Baxter,1956,145.266
8,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,1956,123.36
9,Memories Are Made of This,Dean Martin,1956,138.08
10,(The) Rock and Roll Waltz,Kay Starr,1956,169.933
11,Moonglow and Theme from Picnic,Morris Stoloff,1956,270.493
12,The Great Pretender,The Platters,1956,159.066
13,I Almost Lost My Mind,Pat Boone,1956,157.906
14,"I Want You, I Need You, I Love You",Elvis Presley,1956,159.92
15,Love Me Tender,Elvis Presley,1956,162.066
16,Hot Diggity (Dog Ziggity Boom),Perry Como,1956,141.946
17,Canadian Sunset,Eddie Heywood & Hugo Winterhalter,1956,174.36
18,Blue Suede Shoes,Carl Perkins,1956,134.445
19,Green Door,Jim Lowe,1956,134.583
20,"No, Not Much",The Four Lads,1956,196.733
21,Honky Tonk,Bill Doggett,1956,193.293
22,Sixteen Tons,Tennessee Ernie Ford,1956,155.901
23,Just Walkin' in the Rain,Johnnie Ray,1956,157.24
24,Allegheny Moon,Patti Page,1956,172.533
25,I'm in Love Again,Fats Domino,1956,119.986
26,Tonight You Belong to Me,Patience and Prudence,1956,115.226
27,Be-Bop-A-Lula,Gene Vincent,1956,156.626
28,Why Do Fools Fall in Love,Frankie Lymon and the Teenagers,1956,115.8
29,Standing on the Corner,The Four Lads,1956,171.733
30,The Flying Saucer,Buchanan & Goodman,1956,305.573
31,Moonglow and Theme from Picnic,George Cates,1956,270.493
32,Ivory Tower,Cathy Carr,1956,157.133
33,See You Later Alligator,Bill Haley & His Comets,1956,166.84
34,I'll Be Home,Pat Boone,1956,179.813
35,On the Street Where You Live,Vic Damone,1956,159.466
36,(You've Got) The Magic Touch,The Platters,1956,146.906
37,Born to Be with You,The Chordettes,1956,168.186
38,Band of Gold,Don Cherry,1956,155.066
39,More,Perry Como,1956,156.173
40,Singing the Blues,Guy Mitchell,1956,145.773
41,Blueberry Hill,Fats Domino,1956,147.88
42,The Fool,Sanford Clark,1956,167.373
43,The Happy Whistler,Don Robertson,1956,147.466
44,True Love,Bing Crosby & Grace Kelly,1956,186.373
45,Long Tall Sally,Little Richard,1956,130.173
46,A Sweet Old Fashioned Girl,Teresa Brewer,1956,160.666
47,Transfusion,Nervous Norvus,1956,143.68
48,It Only Hurts for a Little While,The Ames Brothers,1956,162.173
49,A Tear Fell,Teresa Brewer,1956,155.88
50,Rock Island Line,Lonnie Donegan,1956,151.003
1,All Shook Up,Elvis Presley,1957,117.08
2,Love Letters in the Sand,Pat Boone,1957,135.64
3,Little Darlin',The Diamonds,1957,129.333
4,Young Love,Tab Hunter,1957,145.127
5,So Rare,Jimmy Dorsey,1957,154.133
6,Don't Forbid Me,Pat Boone,1957,137.32
7,Singing the Blues,Guy Mitchell,1957,145.773
8,Young Love,Sonny James,1957,150.253
9,Too Much,Elvis Presley,1957,154.84
10,Round and Round,Perry Como,1957,153.306
11,Bye Bye Love,The Everly Brothers,1957,142.906
12,Tammy,Debbie Reynolds,1957,189.533
13,Party Doll,Buddy Knox,1957,135.173
14,Teddy Bear,Elvis Presley,1957,107.186
15,Day-O (The Banana Boat Song),Harry Belafonte,1957,183.133
16,Jailhouse Rock,Elvis Presley,1957,146.48
17,A White Sport Coat (and a Pink Carnation),Marty Robbins,1957,148.266
18,Come Go with Me,The Del-Vikings,1957,162.293
19,Wake Up Little Susie,The Everly Brothers,1957,123.52
20,You Send Me,Sam Cooke,1957,164.675
21,Searchin',The Coasters,1957,159.493
22,School Days,Chuck Berry,1957,137.946
23,Gone,Ferlin Husky,1957,129.533
24,Diana,Paul Anka,1957,138.36
25,A Teenager's Romance,Ricky Nelson,1957,140.773
26,The Banana Boat Song,The Tarriers,1957,184
27,Honeycomb,Jimmie Rodgers,1957,137.106
28,Whole Lotta Shakin' Goin On,Jerry Lee Lewis,1957,173.453
29,Dark Moon,Gale Storm,1957,149.2
30,That'll Be the Day,The Crickets,1957,136.893
31,Butterfly,Charlie Gracie,1957,142.92
32,Moonlight Gambler,Frankie Laine,1957,174.693
33,Teen-Age Crush,Tommy Sands,1957,143.466
34,It's Not for Me to Say,Johnny Mathis,1957,185.88
35,Silhouettes,The Rays,1957,166.586
36,Butterfly,Andy Williams,1957,143.16
37,Marianne,The Easy Riders,1957,141.626
38,I'm Walkin',Fats Domino,1957,126.666
39,Chances Are,Johnny Mathis,1957,193.693
40,Send for Me,Nat King Cole,1957,150.226
41,Rainbow,Russ Hamilton,1957,163
42,Be-Bop Baby,Ricky Nelson,1957,121.933
43,Short Fat Fannie,Larry Williams,1957,146.56
44,Green Door,Jim Lowe,1957,134.583
45,I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams,1957,127.508
46,Old Cape Cod,Patti Page,1957,158.466
47,Mr. Lee,The Bobbettes,1957,135.573
48,Blueberry Hill,Fats Domino,1957,147.88
49,Whispering Bells,The Del-Vikings,1957,143.492
50,Blue Monday,Fats Domino,1957,143.666
1,Volare (Nel blu dipinto di blu),Domenico Modugno,1958,216.373
2,"All I Have to Do Is Dream"" / ""Claudette",The Everly Brothers,1958,143.333
3,"Don't"" / ""I Beg of You",Elvis Presley,1958,130.964
4,Witch Doctor,David Seville,1958,142.493
5,Patricia,Perez Prado,1958,140
6,"Sail Along, Silv'ry Moon"" / ""Raunchy",Billy Vaughn,1958,135.893
7,"Catch a Falling Star"" / ""Magic Moments",Perry Como,1958,177.5
8,Tequila,The Champs,1958,135.24
9,It's All in the Game,Tommy Edwards,1958,158.52
10,Return to Me,Dean Martin,1958,145.666
11,It's Only Make Believe,Conway Twitty,1958,132.026
12,The Purple People Eater,Sheb Wooley,1958,137.96
13,"Bird Dog"" / ""Devoted to You",The Everly Brothers,1958,60.64
14,Get a Job,The Silhouettes,1958,169.706
15,Little Star,The Elegants,1958,160.24
16,Twilight Time,The Platters,1958,165.4
