No.,Title,Artist,Year,duration_sec,genre
3,Maria Maria,Santana featuring The Product G&B,2000,261.973,NA
1,Hanging by a Moment,Lifehouse,2001,216.066,post-grunge
2,Fallin',Alicia Keys,2001,210.2,r&b
3,All for You,Janet Jackson,2001,329.933,new jack swing
1,How You Remind Me,Nickelback,2002,223.84,post-grunge
2,Foolish,Ashanti,2002,227.386,r&b
3,Hot in Herre,Nelly,2002,228.24,NA
1,In da Club,50 Cent,2003,193.466,east coast hip hop
2,Ignition,R. Kelly,2003,186.066,r&b
3,Get Busy,Sean Paul,2003,211.666,dancehall
1,Yeah!,Usher featuring Lil Jon and Ludacris,2004,250.373,r&b
2,Burn,Usher,2004,231.933,r&b
3,If I Ain't Got You,Alicia Keys,2004,228.706,r&b
1,We Belong Together,Mariah Carey,2005,201.4,christmas
2,Hollaback Girl,Gwen Stefani,2005,199.853,NA
3,Let Me Love You,Mario,2005,256.733,r&b
1,Bad Day,Daniel Powter,2006,233.64,NA
2,Temperature,Sean Paul,2006,218.573,dancehall
3,Promiscuous,Nelly Furtado featuring Timbaland,2006,243.493,NA
1,Irreplaceable,Beyoncé,2007,227.853,NA
2,Umbrella,Rihanna featuring Jay-Z,2007,165.045,pop urbano
3,The Sweet Escape,Gwen Stefani featuring Akon,2007,254.826,NA
1,Low,Flo Rida featuring T-Pain,2008,251.213,NA
2,Bleeding Love,Leona Lewis,2008,262.466,NA
3,No One,Alicia Keys,2008,253.813,r&b
1,Boom Boom Pow,The Black Eyed Peas,2009,251.44,NA
2,Poker Face,Lady Gaga,2009,237.2,art pop
3,Just Dance,Lady Gaga featuring Colby O'Donis,2009,233.986,NA
1,Tik Tok,Kesha,2010,200.186,NA
2,Need You Now,Lady Antebellum,2010,277.573,country
3,"Hey, Soul Sister",Train,2010,216.773,soft pop
1,Rolling in the Deep,Adele,2011,228.093,soft pop
2,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2011,262.173,NA
3,Firework,Katy Perry,2011,227.88,pop
1,Somebody That I Used to Know,Gotye featuring Kimbra,2012,246,NA
2,Call Me Maybe,Carly Rae Jepsen,2012,193.4,NA
3,We Are Young,Fun featuring Janelle Moní¡e,2012,3614.013,horrorcore
1,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2013,193.746,NA
2,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013,308.146,NA
3,Radioactive,Imagine Dragons,2013,186.813,NA
1,Happy,Pharrell Williams,2014,232.72,NA
2,Dark Horse,Katy Perry featuring Juicy J,2014,213.028,NA
3,All of Me,John Legend,2014,269.56,soft pop
1,Uptown Funk,Mark Ronson featuring Bruno Mars,2015,185.173,acoustic pop
2,Thinking Out Loud,Ed Sheeran,2015,281.56,soft pop
3,See You Again,Wiz Khalifa featuring Charlie Puth,2015,264,NA
1,Love Yourself,Justin Bieber,2016,233.72,NA
2,Sorry,Justin Bieber,2016,200.786,NA
3,One Dance,Drake featuring Wizkid and Kyla,2016,383.639,hip hop
1,Shape of You,Ed Sheeran,2017,233.712,soft pop
