No.,Title,Artist,Year,duration_sec,genre,url,lyrics
3,Cry,Johnnie Ray & The Four Lads,1952,182.773,adult standards,https://www.songlyrics.com/johnnie-ray-and-the-four-lads/cry-lyrics/,NA
1,The Song from Moulin Rouge,Percy Faith,1953,346.733,orchestra,https://www.songlyrics.com/percy-faith/the-song-from-moulin-rouge-lyrics/,"Whenever we kiss
I worry and wonder
Your lips may be near
But where is your heart?
It's always like this
I worry and wonder
You're close to me here
But where is your heart?
It's a sad thing to realize
That you've a heart that never melts
When we kiss, do you close your eyes
Pretending that I'm someone else?
You must break the spell
This cloud that I'm under
So please won't you tell
Darling, where is your heart?"
2,Vaya con Dios,Les Paul & Mary Ford,1953,174.6,NA,https://www.songlyrics.com/les-paul-and-mary-ford/vaya-con-dios-lyrics/,We do not have the lyrics for Vaya Con Dios yet.
3,(How Much Is) That Doggie in the Window?,Patti Page,1953,149.626,adult standards,https://www.songlyrics.com/patti-page/how-much-is-that-doggie-in-the-window-lyrics/,"How much is that doggie in the window?
The one with the waggly tail
How much is that doggie in the window?
I do hope that doggie is for sale
I must take a trip to California
And leave my poor sweetheart alone
If he has a dog, he won't be lonesome
And the doggie will have a good home
How much is that doggie in the window?
The one with the waggly tail
How much is that doggie in the window?
I do hope that doggie is for sale
I read in the papers, there are robbers
With flash lights that shine in the dark
My love needs a doggie to protect him
And scare them away with one bark
I don't want a bunny or a kitty
I don't want a parrot that talks
I don't want a bowl of little fishies
You can't take a goldfish for walks
How much is that doggie in the window?
The one with the waggly tail
How much is that doggie in the window?
I do hope that doggie is for sale"
1,Little Things Mean a Lot,Kitty Kallen,1954,179.146,NA,https://www.songlyrics.com/kitty-kallen/little-things-mean-a-lot-lyrics/,"Blow me a kiss from across the room
Say I look nice when I'm not
Touch my hair as you pass my chair
Little things mean a lot
Give me your arm as we cross the street
Call me at six on the dot
A line a day when you're far away
Little things mean a lot
Don't have to buy me diamonds and pearls
Champagne, sables or such
I never cared much for diamonds and pearls
Cause honestly honey, they just cost money
Give me your hand when I've lost the way
Give me your shoulder to cry on
Whether the day is bright or gray
Give me your heart to rely on
Send me the warmth of a secret smile
To show me you haven't forgot
For always and ever, now and forever
Little things mean a lot
Give me your arm when I've lost the way
Give me your shoulder to cry on
Whether the day is bright or gray give me your heart to rely on
Send me the warmth of a secret smile
To show me you haven't forgot
That always and ever, now and forever
Little things mean a lot"
2,Wanted,Perry Como,1954,185.093,christmas,https://www.songlyrics.com/perry-como/wanted-lyrics/,"Wanted
Someone who kissed me
And held me closely
Then stole my heart
Wanted
Someone I trusted
Who gave no warning
We'd ever part
She was last seen
Hiding out in someone's arms
He knew nothing
Of the danger in her charms
A jury
May find her guilty
But I'd forgive her
If I could see
A signed confession
That she's repented
And really wanted
No one but me
Wanted
Someone who kissed me
And held me closely
Then stole my heart
Wanted
Someone I trusted
Who gave no warning
That we'd ever part
She was last seen
Hiding out in someone's arms
He knew nothing
Of the danger in her charms
A jury
May find her guilty
But I'd forgive her
If I could see
A signed confession
That she's repented
And really wanted
No one but me"
3,Hey There,Rosemary Clooney,1954,178.333,vocal jazz,https://www.songlyrics.com/rosemary-clooney/hey-there-lyrics/,We do not have the lyrics for Hey There yet.
1,Cherry Pink And Apple Blossom White,Perez Prado,1955,189.64,mambo,https://www.songlyrics.com/perez-prado/cherry-pink-and-apple-blossom-white-lyrics/,"It's cherry pink and apple blossom white
When your true lover comes your way
It's cherry pink and apple blossom white
The poets say
The story goes that once a cherry tree
Beside an apple tree did grow
And there a boy once met his bride to be
Long long ago
The boy looked into her eyes 
It was a sight to enthrall
The breezes joined in their sighs 
The blossoms started to fall
And as they gently carressed 
The lovers looked up to find
The branches of the two trees 
Were intertwined
And that is why the poets always write
If there's a new moon bright above
It's cherry pink and apple blossom white
When you're in love"
2,Rock Around the Clock,Bill Haley & His Comets,1955,129.893,rockabilly,https://www.songlyrics.com/bill-haley-and-his-comets/rock-around-the-clock-lyrics/,"One, two, three o'clock, four o'clock rock
five, six, seven o'clock, eight o'clock rock
nine, ten, eleven o'clock, twelve o'clock rock
we're gonna rock around the clock tonight
Put your glad rags on, join me, hon
we'll have some fun when the clock strikes one
we're gonna rock around the clock tonight
we're gonna rock, rock, rock, 'til broad daylight
gonna rock, gonna rock around the clock tonight
When the clock strikes two, three and four
if the band slows down we'll yell for more
we're gonna rock around the clock tonight
we're gonna rock, rock, rock, 'til broad daylight
gonna rock, gonna rock around the clock tonight
When the chimes ring five, six, and seven
we'll be right in seventh heaven
we're gonna rock around the clock tonight
we're gonna rock, rock, rock, 'til broad daylight
gonna rock, gonna rock around the clock tonight
When it's eight, nine, ten, eleven too
i'll be goin' strong and so will you
we're gonna rock around the clock tonight
we're gonna rock, rock, rock, 'til broad daylight
gonna rock, gonna rock around the clock tonight
When the clock strikes twelve, we'll cool off then
start a'rockin' round the clock again
we're gonna rock around the clock tonight
we're gonna rock, rock, rock, 'til broad daylight
gonna rock, gonna rock around the clock tonight"
3,The Yellow Rose of Texas,Mitch Miller,1955,181.066,NA,https://www.songlyrics.com/mitch-miller/the-yellow-rose-of-texas-lyrics/,"There's a yellow rose in Texas that I am gonna see
Nobody else could miss her not half as much as me
She cried so when I left her it was like it broke her heart
And if I ever find her we never more will part
She's the sweetest little rose bud that Texas ever knew
Her eyes are bright as diamonds they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me
Where the Rio Grand is flowing and the starry skies are bright
She walks along the river in the quiet summer night
I know that she remembers when we parted long ago
I promise to return and not to leave her so
She's the sweetest little rose bud that Texas ever knew
Her eyes are bright as diamonds they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me
Now I'm gonna find her for my heart is full of woe
We'll do the things together we did so long ago
We'll play the banjo gaily she'll loves me like before
And the yellow rose of Texas shall be mine forever more
She's the sweetest little rose bud that Texas ever knew
Her eyes are bright as diamonds they sparkle like the dew
You may talk about your Clementine and sing of Rosa Lee
But the yellow rose of Texas is the only girl for me"
